mean_block1,std_block1,loss_rate_block1,mean_block2,std_block2,loss_rate_block2,mean_block3,std_block3,loss_rate_block3,mean_block4,std_block4,loss_rate_block4,mean_block5,std_block5,loss_rate_block5,mean_block6,std_block6,loss_rate_block6,longest_success_streak,longest_loss_streak,success_rate,variance,distancia
0.9640718562874252,0.1861110211726953,0.0359281437125748,0.918,0.27436472076416824,0.08199999999999996,0.996,0.063118935352238,0.0040000000000000036,1.0,0.0,0.0,0.91,0.2861817604250837,0.08999999999999997,0.898,0.9228195923364436,0.10199999999999998,785.0,28.0,0.9476841052982339,0.17620340037714854,20
0.720558882235529,0.4487246142869968,0.279441117764471,1.0,0.0,0.0,1.0,0.0,0.0,0.798,0.4014922166119787,0.20199999999999996,1.0,0.0,0.0,0.848,0.9428128128106873,0.15200000000000002,1382.0,80.0,0.8943685438187271,0.22109791016012542,20
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.038,0.8488557003401697,-0.038000000000000034,3000.0,1.0,1.0063312229256913,0.12025315120440247,20
0.29141716566866266,0.45441522996297773,0.7085828343313374,0.348,0.4763360158543546,0.652,0.384,0.4863578929142613,0.616,0.592,0.4914631217090454,0.40800000000000003,0.24,0.4270831300812524,0.76,0.562,1.003073277482757,0.43799999999999994,122.0,144.0,0.4028657114295235,0.36718938849773614,20
0.8782435129740519,0.3270043499604374,0.1217564870259481,0.838,0.368450810828257,0.16200000000000003,0.908,0.289025950392002,0.09199999999999997,0.998,0.044676615807377355,0.0020000000000000018,0.858,0.34905013966477655,0.14200000000000002,0.8,0.9591663046625439,0.19999999999999996,512.0,86.0,0.8800399866711096,0.23219406704485152,20
0.8842315369261478,0.31994706754613395,0.11576846307385225,0.884,0.3202249209540069,0.11599999999999999,0.82,0.3841874542459709,0.18000000000000005,1.0,0.0,0.0,0.924,0.26499811320083017,0.07599999999999996,0.828,0.9499557884449149,0.17200000000000004,996.0,54.0,0.8900366544485172,0.22449586670043675,20
0.8622754491017964,0.3446106483817523,0.13772455089820357,0.786,0.4101268096576961,0.21399999999999997,0.782,0.41288739384970335,0.21799999999999997,1.0,0.0,0.0,0.826,0.3791094828674165,0.17400000000000004,0.85,0.9420721840708385,0.15000000000000002,922.0,86.0,0.8510496501166278,0.2533886016668219,20
0.9880239520958084,0.10877785703344282,0.0119760479041916,1.0,0.0,0.0,0.958,0.20058913230780973,0.04200000000000004,1.0,0.0,0.0,1.0,0.0,0.0,1.038,0.8488557003401697,-0.038000000000000034,1764.0,12.0,0.9973342219260246,0.12928313021506435,20
0.5029940119760479,0.49999103581193055,0.4970059880239521,0.644,0.47881520443695186,0.356,0.822,0.38251274488570963,0.17800000000000005,0.992,0.08908422980528036,0.008000000000000007,0.158,0.36474100400146947,0.842,0.746,0.974414696112492,0.254,720.0,241.0,0.6441186271242919,0.355854279829638,20
0.4351297405189621,0.4957739902766812,0.564870259481038,0.548,0.49769066698100745,0.45199999999999996,0.138,0.34489998550304407,0.862,0.416,0.49289349762397966,0.5840000000000001,0.134,0.3406523154185217,0.866,0.648,0.9940301806283348,0.352,157.0,317.0,0.3865378207264245,0.3637507923883198,20
0.782435129740519,0.41258986595462593,0.217564870259481,0.834,0.3720806364217305,0.16600000000000004,0.72,0.44899888641287294,0.28,1.0,0.0,0.0,0.66,0.4737087712930805,0.33999999999999997,1.0,0.8717797887081347,0.0,832.0,127.0,0.8327224258580473,0.26592024584496493,20
0.998003992015968,0.04463209535927723,0.001996007984031989,1.0,0.0,0.0,0.982,0.132951118836962,0.018000000000000016,0.99,0.09949874371066199,0.010000000000000009,1.0,0.0,0.0,1.038,0.8488557003401697,-0.038000000000000034,1494.0,11.0,1.0013328890369877,0.12528979288365616,20
0.9121756487025948,0.2830392810487532,0.08782435129740518,1.0,0.0,0.0,0.472,0.4992153843783262,0.528,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.9591663046625439,0.19999999999999996,1388.0,127.0,0.8640453182272576,0.2440954647906435,20
0.654690618762475,0.47546904469889795,0.34530938123752497,0.662,0.4730285403651666,0.33799999999999997,0.392,0.48819668167655544,0.608,1.0,0.0,0.0,1.0,0.0,0.0,0.804,0.9579060496729312,0.19599999999999995,1417.0,295.0,0.7520826391202933,0.31307880156797674,20
0.7025948103792415,0.45711633399759327,0.29740518962075846,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.782,0.9646118390316387,0.21799999999999997,2481.0,69.0,0.9140286571142953,0.20520472960196207,20
0.17564870259481039,0.3805210058217157,0.8243512974051896,0.298,0.45737949232557423,0.702,0.404,0.4906974628016738,0.596,0.264,0.44079927404658914,0.736,0.348,0.47633601585435464,0.652,0.25,0.9733961166965892,0.75,29.0,182.0,0.2899033655448184,0.3324838627044345,20
0.8522954091816367,0.3548069118119645,0.1477045908183633,1.0,0.0,0.0,0.66,0.4737087712930805,0.33999999999999997,1.0,0.0,0.0,1.0,0.0,0.0,0.934,0.9064458064330155,0.06599999999999995,1188.0,134.0,0.9076974341886038,0.2104072606698578,20
1.0,0.0,0.0,1.0,0.0,0.0,0.992,0.08908422980528033,0.008000000000000007,1.0,0.0,0.0,1.0,0.0,0.0,1.038,0.8488557003401697,-0.038000000000000034,1686.0,2.0,1.0049983338887039,0.12160114128346197,20
